VelocityX, VelocityY, LocationX, LocationY
359.707764, -480.215973, -41032.750000, 3589.636719
-473.419617, -368.543549, -40363.105469, 2178.651123
360.531067, -479.558289, -41490.394531, 1112.591553
140.543442, 245.322968, -40579.136719, -54.346642
-448.000427, 399.104126, -40294.011719, 655.150024
-157.560043, 578.961548, -41461.523438, 1748.492310
-148.775177, 581.270142, -41850.347656, 3177.882568
-122.572594, 587.362610, -42250.195313, 4764.048828
-146.839020, 581.744324, -42618.316406, 6481.613281
-146.345001, 581.909119, -43134.777344, 8546.165039
-165.876480, 576.618225, -43572.101563, 10253.285156
529.897461, -281.533691, -43852.792969, 11639.803711
556.533447, -224.495728, -42546.515625, 10946.731445
576.369507, 166.660645, -40954.593750, 10437.072266
-168.509521, 575.851440, -39499.054688, 11102.503906
569.039246, 190.143738, -39735.214844, 12624.416992
572.224792, 180.534180, -38224.210938, 13127.563477
280.887573, -530.196838, -36703.496094, 13499.346680
388.697266, -367.868713, -36005.136719, 12190.382813
147.484375, 346.526917, -35028.191406, 11323.621094
-266.613251, 537.506714, -34771.878906, 12300.644531
-102.611885, -18.418833, -35433.171875, 13625.317383
-259.235229, -81.575447, -35705.679688, 13569.397461
-214.387436, -210.247177, -36357.636719, 13356.489258
-233.471451, -271.989716, -36892.722656, 12830.047852
21.713783, -123.691010, -37467.507813, 12153.105469
38.281345, -216.637619, -37411.363281, 11833.392578
176.465027, 26.699280, -37306.992188, 11302.361328
595.160217, 76.451172, -36774.660156, 11380.986328
593.808472, 85.923576, -34969.453125, 11617.253906
9.851216, 58.466293, -33809.957031, 12271.715820
534.862671, 271.946350, -33593.164063, 12594.199219
-500.521942, 330.873871, -32380.761719, 13334.259766
-597.425964, 55.960022, -34047.277344, 14165.018555
558.293762, 219.791092, -35223.648438, 14659.997070
414.535889, 433.724670, -33727.730469, 15310.761719
-44.041653, 598.356995, -32524.857422, 17202.460938
-225.952713, 555.825684, -32895.695313, 19195.357422
-596.600769, 63.889084, -34269.292969, 20870.060547
-597.297485, 56.770634, -36895.085938, 20737.593750
598.373169, 44.376343, -38014.843750, 21051.021484
389.716370, 456.177155, -36215.871094, 21480.640625
-495.990204, 337.638062, -35535.339844, 22844.732422
340.643311, 493.894012, -36493.796875, 24137.792969
-461.945190, 382.846741, -36277.214844, 25983.419922
404.940308, 442.767548, -37154.722656, 27391.185547
443.091370, -404.472717, -35934.355469, 28336.365234
440.461975, -407.443359, -34752.332031, 27256.429688
262.067596, -539.708618, -33597.007813, 26128.996094
-267.395477, -537.128967, -32984.429688, 24687.550781
-339.203064, -494.922394, -33872.308594, 23022.359375
586.503174, 126.338341, -34285.765625, 21854.701172
585.559326, 131.027359, -32818.253906, 22171.031250
-275.346741, 533.065674, -31521.318359, 22866.443359
566.766296, -196.848328, -31604.771484, 24089.810547
196.866287, 566.775879, -29967.175781, 24169.726563
566.808838, -196.873734, -28954.882813, 25430.810547
-575.946228, -168.147125, -27802.291016, 24651.646484
130.504684, -585.661743, -29349.052734, 23828.435547
-565.938293, 199.332474, -28554.697266, 21974.958984
502.210205, -328.313446, -28432.808594, 22331.250000
232.472397, -553.108826, -26799.617188, 21037.478516
551.423584, -236.429047, -26121.964844, 19611.361328
92.408478, 592.838623, -24651.890625, 19438.029297
599.958618, -7.961393, -23665.656250, 20844.273438
-107.224800, -590.369263, -21845.443359, 20423.691406
588.751343, -115.625916, -21426.537109, 18789.605469
96.565750, 592.198120, -19687.289063, 18907.246094
57.471592, -597.228699, -19109.882813, 19831.152344
583.236389, 140.928711, -18431.193359, 18166.142578
-546.224121, -248.208496, -17455.640625, 18109.734375
-140.329880, -583.379272, -19005.832031, 16767.169922
242.854324, -548.655212, -19413.205078, 14723.490234
-544.054199, -252.987854, -19286.074219, 13106.160156
259.590057, -540.923523, -20507.580078, 11850.497070
581.096924, -149.358826, -19610.888672, 10424.717773
-353.721588, -484.673950, -18206.359375, 9698.117188
-599.929321, 8.957711, -19511.154297, 8476.712891
-54.636127, -597.519531, -21071.470703, 8048.912598
67.078148, 596.235291, -21185.267578, 6753.321777
45.163906, 598.302917, -20977.914063, 8735.213867
43.348442, 598.430786, -20847.359375, 10471.815430
-599.902222, 11.896305, -20936.820313, 11989.564453
-600.021484, -2.540979, -22815.072266, 12017.920898
-599.949890, -6.093002, -24458.957031, 12010.146484
-10.608339, -599.901550, -26181.505859, 11497.464844
-431.468506, -416.905212, -26854.892578, 9361.217773
-431.484070, -416.911285, -28397.753906, 7870.446777
-428.983459, -419.520599, -29667.056641, 6641.817871
-12.161613, -599.884827, -30760.468750, 5044.655273
480.125427, -359.853516, -30433.361328, 3215.092041
490.621552, -345.347015, -28778.982422, 1995.566895
-342.266815, -492.801941, -27595.148438, 565.042175
-334.364685, -498.208252, -28654.855469, -970.763611
512.635925, -311.731018, -29033.253906, -2519.711426
-206.577209, -563.320618, -27902.800781, -3775.392334
241.854385, -549.099426, -27079.701172, -6494.067871
-472.117310, -370.318268, -26563.886719, -7945.355957
